admin_level_2,city_latitude,city_longitude,count
Paris,48.8566394864767,2.35165940269138,594
Seine-Maritime,49.59978854043757,0.9172363859954569,576
Loire-Atlantique,47.26335745699179,-1.5911587193532502,498
Mayenne,48.104365983368,-0.7748731860916992,396
Maine-et-Loire,47.41478234320083,-0.6696507746955871,388
Calvados,49.10695717593715,-0.4109227990569045,380
Somme,49.96521997793376,2.3492671066964426,370
Gironde,44.85946470397789,-0.5150475097681531,349
Gard,43.964241047000144,4.258573378278921,331
Ardèche,44.702902266090184,4.387481720550557,319
Bouches-du-Rhône,43.47023045024097,5.218735395927334,308
Rhône,45.84090211550255,4.686723519971802,304
Hérault,43.541404028513774,3.4443520992192296,301
Puy-de-Dôme,45.759361418904305,3.1252132381766855,300
Orne,48.61187945504108,-0.09645101754967819,288
Manche,49.02992229416192,-1.3025947699483442,264
Aisne,49.677685536835575,3.586214085145314,250
Eure,49.17442809083404,1.136185326985205,242
Saône-et-Loire,46.502677743838625,4.632316717050197,241
Aveyron,44.329024902308504,2.574177583357994,225
Aude,43.12891154379962,2.4187854365458445,223
Nord,50.45851841387118,3.180897625286325,222
Var,43.3628773321881,6.186516288167269,218
Lot,44.648940794244034,1.6269409238210304,215
Pas-de-Calais,50.49351636119798,2.2103282132235607,206
Loire,45.66589092834088,4.255562200520132,203
Ille-et-Vilaine,48.202935367895655,-1.536764862232237,195
Haute-Garonne,43.446769270166264,1.2809539497912055,187
Morbihan,47.783994155379,-2.8206493363147778,184
Haute-Loire,45.108454370846324,3.8554423201369055,180
Sarthe,48.017946431001306,0.1718769491196651,173
Isère,45.35672795118099,5.4747624529937156,169
Pyrénées-Atlantiques,43.3579368164175,-0.8814894549090388,168
Nièvre,47.10720439717917,3.443430733323793,166
Côte-d'Or,47.345910379147966,4.867237666813975,166
Ariège,42.94010461267932,1.4766926643013434,159
Lozère,44.54965661338733,3.5231369740821106,156
Indre-et-Loire,47.296458249084715,0.6326940023414849,156
Allier,46.33449412658666,3.1117462822457735,151
Deux-Sèvres,46.588365541034435,-0.3730145548327036,151
Oise,49.40402069760299,2.5538389129693635,150
Côtes-d'Armor,48.4827114965015,-2.8920157818397447,147
Charente-Maritime,45.84465557643554,-0.7962765611472524,146
Cantal,45.04536999314999,2.6202991636102078,142
Creuse,46.140533603466345,2.0134474741708837,142
Vendée,46.69309533031117,-1.3477048892936425,139
Lot-et-Garonne,44.348068320796145,0.5115647792150317,136
Haute-Saône,47.62554253131111,6.095574954729822,135
Marne,49.0017357502386,4.276694277030061,132
Yonne,47.88973556070981,3.548938551182688,130
